# Scalar output
"Time","VMax"
0.000000000000000e+00,1.000000000000008e-09
1.024066681847231e+07,9.990846308717147e-10
2.170002549021527e+07,9.983712699249536e-10
3.227617818226789e+07,9.978530617446058e-10
4.241348590637813e+07,9.974043036797975e-10
5.486597911559221e+07,9.968866746148910e-10
6.482617809385660e+07,9.964930213659584e-10
7.644762954150194e+07,9.960526817494717e-10
8.979757442938572e+07,9.955675738414150e-10
1.046526014532539e+08,9.950489233096515e-10
1.211788589290485e+08,9.944936130084130e-10
1.396441756587332e+08,9.938963682625535e-10
1.495628690403733e+08,9.935847323159347e-10
1.596788585023166e+08,9.932731147380327e-10
1.700366737081770e+08,9.929603238034532e-10
1.806878883526375e+08,9.926451033043348e-10
1.916949889228826e+08,9.923260364581652e-10
2.031356352944863e+08,9.920014581555016e-10
2.150074638503786e+08,9.916721165738033e-10
2.274070255576663e+08,9.913361291167929e-10
2.404618380091560e+08,9.909910835370218e-10
2.537869691328881e+08,9.906479633518255e-10
2.670777731211590e+08,9.903147269229148e-10
2.804090866923010e+08,9.899893764253333e-10
2.938533092224296e+08,9.896701680410327e-10
3.074827644547048e+08,9.893555430276264e-10
3.213744468324301e+08,9.890440183333802e-10
3.356159114830650e+08,9.887340734797959e-10
3.503136140721214e+08,9.884240119269076e-10
3.644503122324755e+08,9.881349985006784e-10
3.782065121283750e+08,9.878622505812770e-10
3.917794630260940e+08,9.876011613526150e-10
4.053169356558973e+08,9.873485166808608e-10
4.189465377045550e+08,9.871018014154431e-10
4.326465325872101e+08,9.868613588599380e-10
4.464735076112432e+08,9.866261661538461e-10
4.605582414732115e+08,9.863941106167159e-10
4.750618254875102e+08,9.861628694706768e-10
4.902122334744860e+08,9.859294331051193e-10
5.059651050438710e+08,9.856952402627232e-10
5.211613705606816e+08,9.854772990616481e-10
5.359948585798986e+08,9.852718728327097e-10
5.506372828527604e+08,9.850759530691406e-10
5.652268783379498e+08,9.848873052025037e-10
5.798859120463831e+08,9.847041497324782e-10
5.947308362002268e+08,9.845249891318220e-10
6.098788528369488e+08,9.843485082163159e-10
6.254525643428872e+08,9.841735158911020e-10
6.415835924274151e+08,9.839989119419583e-10
6.568403909724520e+08,9.838397775641291e-10
