# Scalar output
"Time","VMax"
0.000000000000000e+00,1.000000000000008e-09
1.024066681847231e+07,9.990846308717147e-10
2.170002546837216e+07,9.983712699261092e-10
3.227617809175397e+07,9.978530617487810e-10
4.241348579224305e+07,9.974043036846971e-10
5.486597899470016e+07,9.968866746197596e-10
6.482617794657800e+07,9.964930213716728e-10
7.644762927498984e+07,9.960526817593962e-10
8.979757414220233e+07,9.955675738516400e-10
1.046526010799237e+08,9.950489233224354e-10
1.211788584417885e+08,9.944936130244967e-10
1.396441750693193e+08,9.938963682812455e-10
1.495628684057139e+08,9.935847323357059e-10
1.596788578142104e+08,9.932731147590288e-10
1.700366730698572e+08,9.929603238225418e-10
1.806878877025021e+08,9.926451033234173e-10
1.916949883091372e+08,9.923260364757682e-10
2.031356347116205e+08,9.920014581718249e-10
2.150074632929521e+08,9.916721165890789e-10
2.274070249080683e+08,9.913361291342285e-10
2.404618371385556e+08,9.909910835597936e-10
2.537869683559678e+08,9.906479633715099e-10
2.670777721524757e+08,9.903147269469227e-10
2.804090855875790e+08,9.899893764518966e-10
2.938533082316863e+08,9.896701680643247e-10
3.074827634386247e+08,9.893555430508017e-10
3.213744457148325e+08,9.890440183582513e-10
3.356159102486930e+08,9.887340735061151e-10
3.503136129616168e+08,9.884240119499439e-10
3.644503113113644e+08,9.881349985191651e-10
3.782065112209076e+08,9.878622505990353e-10
3.917794622834970e+08,9.876011613668138e-10
4.053169348286571e+08,9.873485166961020e-10
4.189465368634685e+08,9.871018014305150e-10
4.326465317230756e+08,9.868613588748206e-10
4.464735067884679e+08,9.866261661677122e-10
4.605582406086397e+08,9.863941106305342e-10
4.750618245701466e+08,9.861628694849920e-10
4.902122324096379e+08,9.859294331211692e-10
5.059651039067337e+08,9.856952402795675e-10
5.211613695158477e+08,9.854772990764574e-10
5.359948574422438e+08,9.852718728480115e-10
5.506372816665106e+08,9.850759530846248e-10
5.652268771999527e+08,9.848873052170261e-10
5.798859109431536e+08,9.847041497460233e-10
5.947308351185391e+08,9.845249891448089e-10
6.098788518712448e+08,9.843485082271545e-10
6.254525632677771e+08,9.841735159031503e-10
6.415835913328711e+08,9.839989119532479e-10
6.568403899439323e+08,9.838397775747689e-10
