# Scalar output
"Time","VMax"
0.000000000000000e+00,1.000000000000008e-09
1.022079573488087e+07,9.993260977882445e-10
2.170934391462754e+07,9.988735317718873e-10
3.237622159912773e+07,9.985136146925758e-10
4.277797885709651e+07,9.981897309740596e-10
5.556739619826311e+07,9.978186381416967e-10
6.568206336248361e+07,9.975415080342001e-10
7.732818027047607e+07,9.972361605937896e-10
9.049440689171185e+07,9.969049659165461e-10
1.053971749732946e+08,9.965445222203145e-10
1.222297598908774e+08,9.961528258829156e-10
1.351036395750378e+08,9.958627732981654e-10
1.480723800023906e+08,9.955782593599122e-10
1.600277201828903e+08,9.953221834615484e-10
1.733300271466282e+08,9.950444056281591e-10
1.859014047447483e+08,9.947881974647397e-10
1.980484538527355e+08,9.945463381558942e-10
2.116308705362480e+08,9.942828471405618e-10
2.237338538017296e+08,9.940534316998368e-10
2.363578694730927e+08,9.938200031980405e-10
2.499046727373644e+08,9.935761948391894e-10
2.616667621375953e+08,9.933692181006975e-10
2.749472603993900e+08,9.931418511804969e-10
2.875027950573958e+08,9.929322984761053e-10
3.005614950849394e+08,9.927202102444527e-10
3.131062767599257e+08,9.925216664568122e-10
3.257861500437758e+08,9.923263126028093e-10
3.388821618610293e+08,9.921301721549005e-10
3.512940635102879e+08,9.919490771105377e-10
3.642520923979132e+08,9.917653549120544e-10
3.772310612620970e+08,9.915865177066514e-10
3.896261614916522e+08,9.914202491739315e-10
4.028584569477054e+08,9.912480392296949e-10
4.155935852868461e+08,9.910868940776931e-10
4.281455765191141e+08,9.909324820850801e-10
4.415351825072746e+08,9.907728410899988e-10
4.539929959806855e+08,9.906282994295909e-10
4.668722061611910e+08,9.904833081815844e-10
4.802083802863362e+08,9.903378118650655e-10
4.924864616033499e+08,9.902073893200085e-10
5.057809023219092e+08,9.900706569778106e-10
5.188325313143806e+08,9.899404114367957e-10
5.311475958385666e+08,9.898208463570524e-10
5.447934220581214e+08,9.896927807166919e-10
5.574135546124103e+08,9.895775766764592e-10
5.700378110960368e+08,9.894657244484029e-10
5.838000447076277e+08,9.893479179374515e-10
5.960125098863920e+08,9.892459584062230e-10
6.091715964779376e+08,9.891396875425014e-10
6.227068786026822e+08,9.890339329128011e-10
6.347307036216617e+08,9.889422263537338e-10
6.484859636740512e+08,9.888410653260061e-10
6.609037551314774e+08,9.887521025078273e-10
6.744591573352941e+08,9.886583037054623e-10
6.873252385022296e+08,9.885717696990984e-10
6.999319088437996e+08,9.884894059428799e-10
7.136760661420231e+08,9.884027453531289e-10
7.261430702950894e+08,9.883260653645877e-10
7.391692585621089e+08,9.882485275169862e-10
7.528163919071054e+08,9.881700380582265e-10
7.650218814171227e+08,9.881014137066749e-10
7.785863538359101e+08,9.880279028429309e-10
7.918280032561188e+08,9.879582844746550e-10
8.040638328892142e+08,9.878954991548006e-10
8.180803651293080e+08,9.878263675119384e-10
8.307285033457866e+08,9.877654273818124e-10
8.433532459852461e+08,9.877064078026975e-10
8.567685225926009e+08,9.876457842581019e-10
8.698224804877619e+08,9.875884888812583e-10
8.833300595350968e+08,9.875311724197687e-10
8.958319758905227e+08,9.874793428297277e-10
9.092613187189157e+08,9.874256448885148e-10
9.224973059219241e+08,9.873742847847772e-10
9.350070307254597e+08,9.873269211828863e-10
9.487613758233671e+08,9.872768361920973e-10
9.615810171050882e+08,9.872312527533407e-10
9.743563856385363e+08,9.871871607090027e-10
9.882233369311064e+08,9.871411436556644e-10
1.000639267168242e+09,9.871006537282772e-10
1.013899956958963e+09,9.870589953243496e-10
1.027559208965153e+09,9.870175742625970e-10
1.039769699872221e+09,9.869811149468598e-10
1.053585768366169e+09,9.869416502069306e-10
1.066736931896976e+09,9.869050416222520e-10
1.079079667980542e+09,9.868714183764484e-10
1.093289424380469e+09,9.868345276807561e-10
1.105799674737853e+09,9.868024324971456e-10
1.118644424067884e+09,9.867706096595570e-10
1.132071082087872e+09,9.867384892743764e-10
1.145095447248787e+09,9.867081581650556e-10
1.158924402077275e+09,9.866772358909177e-10
1.171235163689291e+09,9.866499751112513e-10
1.184798928145446e+09,9.866212791057017e-10
1.198259191478074e+09,9.865936845320813e-10
1.210518169550044e+09,9.865688712422354e-10
1.224582766654398e+09,9.865418892294407e-10
1.237442186347640e+09,9.865175810490000e-10
1.250017230804101e+09,9.864944520284656e-10
1.263567092967652e+09,9.864705564669290e-10
1.276763405777032e+09,9.864479177112927e-10
1.290179428766230e+09,9.864256918416150e-10
1.302909368903121e+09,9.864049983867376e-10
1.316367264942510e+09,9.863840366501293e-10
1.329557729126600e+09,9.863640430529788e-10
1.342332826001653e+09,9.863451221641772e-10
1.355989250099241e+09,9.863258211276573e-10
1.368872614991303e+09,9.863079097344203e-10
1.381877437456866e+09,9.862904312655718e-10
1.395559208641261e+09,9.862728625659638e-10
1.408173863930294e+09,9.862567891732276e-10
1.421546903593367e+09,9.862405497250957e-10
1.435020664339560e+09,9.862247709402948e-10
1.447537026937419e+09,9.862102371791082e-10
1.461292149315624e+09,9.861952034663641e-10
1.474360105345591e+09,9.861811676190194e-10
1.487039199922717e+09,9.861678620923047e-10
1.501018160216134e+09,9.861541274119261e-10
1.513619834991046e+09,9.861416657358985e-10
1.526726106979138e+09,9.861293268704489e-10
1.540621940429493e+09,9.861169891921501e-10
1.552891320173482e+09,9.861058622387726e-10
1.566577616695992e+09,9.860943703200030e-10
1.580043551686997e+09,9.860834249069898e-10
1.592290306234496e+09,9.860733763483800e-10
1.606490212745778e+09,9.860628018687072e-10
1.618723997968069e+09,9.860533855906874e-10
1.632730737463279e+09,9.860435973713403e-10
1.645813943603026e+09,9.860344970483840e-10
1.658257513329600e+09,9.860259481986950e-10
1.672603525960750e+09,9.860171174380970e-10
1.685020643419076e+09,9.860090591819030e-10
1.698045940514703e+09,9.860011877310643e-10
1.712044012522986e+09,9.859933891816719e-10
1.724519957991893e+09,9.859861476022313e-10
1.737824097959263e+09,9.859790227745796e-10
1.751617934871031e+09,9.859721304686888e-10
1.763849826499238e+09,9.859656865225541e-10
