# Scalar output
"Time","VMax"
0.000000000000000e+00,1.000000000000008e-09
1.022079575401901e+07,9.993260977873819e-10
2.170934382685086e+07,9.988735317750129e-10
3.237622143991182e+07,9.985136146977380e-10
4.277797872663961e+07,9.981897309779832e-10
5.556739606503767e+07,9.978186381454025e-10
6.568206324026708e+07,9.975415080374805e-10
7.732818018680090e+07,9.972361605959475e-10
9.049440684412661e+07,9.969049659179488e-10
1.053971748816854e+08,9.965445222246514e-10
1.222297598653491e+08,9.961528259735320e-10
1.351018961861376e+08,9.958628119034462e-10
1.480720683779845e+08,9.955782662227899e-10
1.600273274205217e+08,9.953221918240262e-10
1.733281617448678e+08,9.950444438249729e-10
1.859016093242254e+08,9.947881936041108e-10
1.980473626219584e+08,9.945463595755883e-10
2.116293342908385e+08,9.942828762977048e-10
2.237342871506968e+08,9.940534238859198e-10
2.363559670458107e+08,9.938200377055653e-10
2.499038644800503e+08,9.935762092287894e-10
2.616669564242207e+08,9.933692149468284e-10
2.749447816159759e+08,9.931418925297554e-10
2.875035982138519e+08,9.929322857768776e-10
3.005597154528990e+08,9.927202384437406e-10
3.131044344892980e+08,9.925216949317882e-10
3.257871435591081e+08,9.923262981413391e-10
3.388791601888549e+08,9.921302156759902e-10
3.512933997722793e+08,9.919490867909993e-10
3.642523936980698e+08,9.917653512046973e-10
3.772273760839919e+08,9.915865667289512e-10
3.896268346318699e+08,9.914202408076841e-10
4.028571840657421e+08,9.912480555660860e-10
4.155901293141205e+08,9.910869363738451e-10
4.281471457785711e+08,9.909324638885202e-10
4.415318906792895e+08,9.907728789428250e-10
4.539907393066378e+08,9.906283249747327e-10
4.668736110696926e+08,9.904832935203153e-10
4.802033666872168e+08,9.903378641916113e-10
4.924860390069024e+08,9.902073940877423e-10
5.057807278223423e+08,9.900706593698361e-10
5.188268178441413e+08,9.899404659625081e-10
5.311489710945379e+08,9.898208340466347e-10
5.447904828117561e+08,9.896928075543556e-10
5.574085138305106e+08,9.895776209744576e-10
5.700400602616798e+08,9.894657060140991e-10
5.837940224128168e+08,9.893479669069986e-10
5.960093874987442e+08,9.892459838972678e-10
6.091729716422020e+08,9.891396779190638e-10
6.226985760099087e+08,9.890339940345038e-10
6.347301400088294e+08,9.889422311390270e-10
6.484844063646560e+08,9.888410774053825e-10
6.608992556934632e+08,9.887521338919581e-10
6.744557574203026e+08,9.886583268359229e-10
6.873236243535260e+08,9.885717809913831e-10
6.999267363688982e+08,9.884894386727456e-10
7.136740892303534e+08,9.884027582170855e-10
7.261407391041460e+08,9.883260796754517e-10
7.391640887132051e+08,9.882485571864529e-10
7.528156888142816e+08,9.881700432251874e-10
7.650183736386259e+08,9.881014329092843e-10
7.785821534427216e+08,9.880279247606968e-10
7.918279370362662e+08,9.879582860627320e-10
8.040590980159768e+08,9.878955225547775e-10
8.180779944999781e+08,9.878263791465704e-10
8.307282014418693e+08,9.877654295853618e-10
8.433477715316793e+08,9.877064322582001e-10
8.567658419098299e+08,9.876457961032031e-10
8.698215188540682e+08,9.875884934834528e-10
8.833259200445967e+08,9.875311889732984e-10
8.958302169242773e+08,9.874793501865129e-10
9.092595337980497e+08,9.874256522058126e-10
9.224928611411426e+08,9.873743009829319e-10
9.350061484709622e+08,9.873269248967234e-10
9.487581965716424e+08,9.872768474180874e-10
9.615769645527365e+08,9.872312664460418e-10
9.743558826097045e+08,9.871871630111938e-10
9.882186366995157e+08,9.871411581495115e-10
1.000636221195563e+09,9.871006634231677e-10
1.013898937995232e+09,9.870589991027241e-10
1.027553424183440e+09,9.870175902156083e-10
1.039767935783527e+09,9.869811204169605e-10
1.053583207123753e+09,9.869416577564517e-10
1.066730905411827e+09,9.869050569855100e-10
1.079078945403328e+09,9.868714208822961e-10
1.093284672417551e+09,9.868345393266044e-10
1.105794306754783e+09,9.868024454215680e-10
1.118643936276488e+09,9.867706116422030e-10
1.132067648473773e+09,9.867384975291710e-10
1.145090748571953e+09,9.867081687056934e-10
1.158921168341599e+09,9.866772434067720e-10
1.171231357841734e+09,9.866499833372416e-10
1.184794388561297e+09,9.866212883479123e-10
1.198256326898545e+09,9.865936908041121e-10
1.210513885914211e+09,9.865688795799562e-10
1.224578773494094e+09,9.865418967257182e-10
1.237439402348695e+09,9.865175865642061e-10
1.250012528452669e+09,9.864944602692227e-10
1.263563333426716e+09,9.864705630051122e-10
1.276760401405466e+09,9.864479230256895e-10
1.290174742457899e+09,9.864256991136451e-10
1.302906150971021e+09,9.864050036555301e-10
1.316363763414774e+09,9.863840421427054e-10
1.329552984960954e+09,9.863640497589585e-10
1.342330055116848e+09,9.863451264672676e-10
1.355984960663644e+09,9.863258269529959e-10
1.368868199583808e+09,9.863079155552719e-10
1.381874791540075e+09,9.862904351182056e-10
1.395554149693538e+09,9.862728684909375e-10
1.408170109481747e+09,9.862567938779328e-10
1.421543861228991e+09,9.862405536902790e-10
1.435015151010711e+09,9.862247766477597e-10
1.447534042084010e+09,9.862102408050797e-10
1.461288151228510e+09,9.861952078569983e-10
1.474354651310149e+09,9.861811728442666e-10
1.487036742246324e+09,9.861678650216322e-10
1.501012930229667e+09,9.861541320622328e-10
1.513614979793947e+09,9.861416701956951e-10
1.526723586822495e+09,9.861293297075738e-10
1.540615635148468e+09,9.861169937780250e-10
1.552887413887695e+09,9.861058657516031e-10
1.566574220854120e+09,9.860943735793092e-10
1.580036721937500e+09,9.860834293306104e-10
1.592287369441982e+09,9.860733790038837e-10
1.606485279269314e+09,9.860628055184367e-10
1.618719645011431e+09,9.860533888679592e-10
1.632725421959470e+09,9.860436008888008e-10
1.645809288342703e+09,9.860345002879078e-10
1.658252925278492e+09,9.860259512682297e-10
1.672598114283750e+09,9.860171205336010e-10
1.685016208465807e+09,9.860090620283448e-10
1.698040946118568e+09,9.860011906547912e-10
1.712039198358705e+09,9.859933919597104e-10
1.724515061731884e+09,9.859861502881261e-10
1.737819120002343e+09,9.859790253788823e-10
1.751613158958880e+09,9.859721329558073e-10
1.763844870702101e+09,9.859656889365817e-10
1.776648081150962e+09,9.859594638278466e-10
1.788245782874054e+09,9.859539584592919e-10
1.799410652845640e+09,9.859489279118027e-10
1.810516635302350e+09,9.859441187490570e-10
1.821628396637765e+09,9.859394744226780e-10
1.832789612898995e+09,9.859349700165249e-10
1.844289157332314e+09,9.859304923526663e-10
1.856439974905601e+09,9.859259360662192e-10
1.869700912454458e+09,9.859211627946343e-10
1.884916934411124e+09,9.859159345989953e-10
1.901039708433872e+09,9.859106772059811e-10
1.915373767575998e+09,9.859062416955089e-10
1.928808725478315e+09,9.859022846646370e-10
1.941766603800421e+09,9.858986496169879e-10
1.954451385648008e+09,9.858952624560223e-10
1.967011274641118e+09,9.858920742151688e-10
1.979585740035187e+09,9.858890454584849e-10
1.992328871960536e+09,9.858861401620537e-10
2.005260611977561e+09,9.858833574876306e-10
2.018528769936085e+09,9.858806717317012e-10
2.032376902915018e+09,9.858780462643131e-10
2.047128697351127e+09,9.858754425984058e-10
2.062911056451916e+09,9.858728729935826e-10
2.078955059713624e+09,9.858705310897332e-10
2.093975551415699e+09,9.858687269511340e-10
2.107744306947298e+09,9.858672125279343e-10
2.120143541391221e+09,9.858654720594623e-10
2.133835001847651e+09,9.858641497509163e-10
2.147203137806172e+09,9.858629052691728e-10
2.159621701492979e+09,9.858615359805993e-10
2.173526050450973e+09,9.858606281254204e-10
2.186548785058452e+09,9.858596190956030e-10
2.199028279332512e+09,9.858586270663771e-10
2.211192775553919e+09,9.858578157365942e-10
2.223187079396516e+09,9.858571770707952e-10
2.235183268373849e+09,9.858566607041488e-10
2.247290460360767e+09,9.858562365128652e-10
2.259131315402013e+09,9.858559038021746e-10
2.270753993951913e+09,9.858556515871720e-10
2.282341219912796e+09,9.858554696900821e-10
2.294099016513079e+09,9.858553533650947e-10
2.306471459517975e+09,9.858553033603990e-10
2.320087969152975e+09,9.858553332605959e-10
2.331682415920562e+09,9.858554291148814e-10
2.341992444374500e+09,9.858555693883318e-10
2.355904447435922e+09,9.858558417363431e-10
2.368815448291071e+09,9.858561800991336e-10
2.381378810386110e+09,9.858565874403083e-10
2.394114358895336e+09,9.858570766130885e-10
2.407509060448614e+09,9.858576701610993e-10
2.417079347366697e+09,9.858581413091398e-10
2.427429592530300e+09,9.858586926194621e-10
2.438968694315734e+09,9.858593556846329e-10
2.451895324344398e+09,9.858601556264900e-10
2.465665665252592e+09,9.858610705256430e-10
2.479290083682114e+09,9.858620368034488e-10
2.491817591727324e+09,9.858629780826011e-10
2.503805360661545e+09,9.858639268295800e-10
2.515436123753444e+09,9.858648938216131e-10
2.526806481399954e+09,9.858658855632273e-10
2.537924054183254e+09,9.858669018526992e-10
2.548695221367346e+09,9.858679324018878e-10
2.559282721329406e+09,9.858689909768253e-10
2.569827222549780e+09,9.858700912487383e-10
2.580456812557144e+09,9.858712474412924e-10
2.591299510280969e+09,9.858724755787915e-10
2.602494065366442e+09,9.858737948574489e-10
2.614203474237195e+09,9.858752296289757e-10
2.626638262503159e+09,9.858768130059464e-10
2.640065640729656e+09,9.858785891620363e-10
2.653891072868173e+09,9.858804861475757e-10
2.667995720707433e+09,9.858824876765099e-10
2.682448305201759e+09,9.858846017713042e-10
2.696986035069231e+09,9.858867859483089e-10
2.711147351275351e+09,9.858889625405925e-10
2.725004075310391e+09,9.858911335408232e-10
2.738544958681273e+09,9.858932904310095e-10
2.751756518239063e+09,9.858954263105708e-10
2.764395691699938e+09,9.858974981341422e-10
2.775920709230679e+09,9.858994122664200e-10
2.786752343989396e+09,9.859012340323665e-10
2.797146564496181e+09,9.859030037393775e-10
2.807275214471210e+09,9.859047489737753e-10
2.817270424757786e+09,9.859064913309167e-10
2.827245367337034e+09,9.859082496066037e-10
2.837306236101232e+09,9.859100417046413e-10
